irn,DarGlobalUniqueIdentifier,DarInstitutionCode,DarCatalogNumber,DarRelatedInformation,DarImageURL,DarKingdom,DarPhylum,DarFamily,DarScientificName,DarCollector,CollectionTeam,CollectionNumberPrefix,CollectionNumber,CollectionNumberSuffix,CollectionNumberText,ColDateVisitedFrom,ColDateVisitedTo,ColVerbatimDate,DarCollectionNotes,DarContinent,DarCountry,DarStateProvince,DarCounty,DarLocality,Township_tab,Range_tab,Section_tab,DarMinimumElevationMeters,DarMaximumElevationMeters,MinimumElevationFeet,MaximumElevationFeet,DarLatitudeDecimal,DarLongitudeDecimal,LatitudeDMS,LongitudeDMS,DarGeodeticDatum,DarGeorefMethod,DarCoordinateUncertaintyInMeter,ColLocationNotes,FeaCultivated? (Y/N),FeaPlantFungDescription,FeaFrequency,HabHabitat,HabVegetation,HabSubstrate,SpeOtherSpecimenNumbers_tab,OcrText
4176448,8a333d4e-6386-4a40-83ec-e45aac9df66e,NY,3893084,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4176448,http://sweetgum.nybg.org/images3/3281/874/03893084.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia hirta (L.) Sw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,,"New York Botanical Garden
Anemia hispida Kunze
det. J. T. Mickel, 2009
FLORA OF ECUADOR
# 3151
Prov. Loja
£7—89 km from Porto Velo on road to Loja at the
campamentd ""Santa Ana""»
M o u n t a i n s c r li b „
79 0 3511W 3° 48"" S
EE Feb 1989
IEDO m alt
U. Mo lau & B. Eriksen
03893084
03893084"
2978547,91637c23-cb8d-45ac-a3e9-59933b727285,NY,2697598,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978547,http://sweetgum.nybg.org/images3/2101/035/02697598.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia humilis (Cav.) Sw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,,"i
%
Anemiaceae .	v
/$*i(Ca
Det.:
BrasU. Tocantins: Taguatinga. 12° 20’51” s, 46° 20’17” W. 830 m.
Estrada Taguatinga para Luiz Eduardo Magalháes, 17 km de Taguatinga.
Subida da Serra Geral. Solo pedregoso com afloramentos.
Terrestre em barranco á beira da estrada.
Leg.: Labiak, P.H. 6035 & R.C.Forzza, A.M.A. Amorim, C. Pessoa
Data: 10/Mar/2015
HERBÁRIO UPCB
Universidade Federal do Paraná
02697598
02697598"
2792662,956947db-54fa-4994-9e22-604f1b0e2c54,NY,2530999,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2792662,http://sweetgum.nybg.org/images3/1751/438/02530999.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia lancea Christ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,,"Anemia	«-
UNIVERSITY OF MICHIGAN
dU U- ?
det. John T. Mickel
02530999
Area de dispersad conhecida
1.a SECÇÀO: BOTANICA E AGRONOMIA
do INSTITUTO BIOLOGICO
Familia
.S.CHIMEACEAE..........
Data
30/11/923,
N. ü^új^ar
Proced. It»y Fap ÍI1& j S »Pau lo
Observ.	I I
N.o
8339
Coihida poriGuilherme Gehrt,
Determ. ,por:^.^.®®
02530999"
3680664,f0613abf-a9e5-426c-90ac-121bf74784c6,NY,3361644,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3680664,http://sweetgum.nybg.org/images3/2808/417/03361644.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia mandioccana Hook.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,,"Anewra,
O iAvCA^Aa^ _Av/\
A,o*J.Aà.
Herbário VIC
Det	¿ X‘W* ' * /2oJ6
UNIVERSIDADE FEDERAL DE VINOSA
DEPARTAMENTO DE BIOLOGIA VEGETAL
HERBÁRIO VIC - VINOSA (MG, BRASIL)
BOTANICAL
NEW YORK BOTANICAL GARDEN
03361644
Fam.: ANEMIACEAE
NOME Cient.: Anemia mandiocana Raddi
Nome Vulgar:
Det./Data:
Proc.: Brasil, MG, Vinosa?
Obs.:
Col.: Alexandre
Data: 07/03/1978
VIC N
S8TÍ
03361644"
3680634,54aa6925-45ff-43d7-94d0-cd55c4da14bd,NY,3361642,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3680634,http://sweetgum.nybg.org/images3/2808/415/03361642.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia mickelii L.S.Rabelo & Schwartsb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,,"«5fl
fe/n
-AvvXC^lOlJbv^.
xk Ji cXoCJdk,
Herbário VIC
Det	¿ w. /m /SoK'
UNIVERSIDADE FEDERAL DEVICOSA
DEPARTAMENTO DE BIOLOGIA VEGETAL
HERBÁRIO VIC - VINOSA ( MG, BRASIL )
Nfi VIC: 16.775
Fam.: SCHIZAEACEAE
Nome Cient.: Anemia tenella Sw.
j Nome Vulgar:
Det./Data:	- 2-0 /f2/ fffé
Proc.: Brasil; MG; Vinosa; Campus da UFV, estrada para a caprinocultura.
Obs.: Planta crescendo a pleno sol em barranco da beira da estrada que dá acesso ;
caprinocultura da UFV. No dia da coleta o local estava ùmido.
Col.: Gilmar Edilberto Valente - 240, Marcelo Simonelli-455 e
Màrcio L. L. Martins-833
Data: 12/12/1996
03361642
03361642"
3759786,d7fb52c2-9599-4218-a9d5-ad8953cbaf8b,NY,3489003,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3759786,http://sweetgum.nybg.org/images3/2886/239/03489003.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia nervosa Pohl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,RB (Barcode) 1176457,"03489003
4
SA
Fcm
JARDIM BOTÀNICO DO RIO DE JANEIRO
RB 659728
ANEMIACEAE
Anemia nervosa Pohl
Del: Elsie F. Guimaràesfem 11-2012)
Brasil, Rio de Janeiro, Santa Maria Madalena. Área adjacente ao Parque
Estadual do Desengano. Fazenda Dibuá. Pedra Dubois. Pedra Dubois na
base, final da mata. 21°56,39"" S, 41°59’15"" W. Elev.: 1088 m.
Terricola, ciófila. Caule verde com tricomas castanhos, frondes discolores verdes,
fronde reprodutiva de pedúnculo castanho e soros amarelados ou castanho
escuras. Visto individuos distantes uns dos outras ao longo da mata, contabilizado
mais de vinte individuos. Altura: 0.5 m. Habitat: Floresta Ombrófila, corn influência
antròpica e vegetaçâo rupicola. Hábito/Forma de vida: subarbusto.
P.Rosa, 1209, C. Baez, T. Lima & D. Maurenza
30-VIII-2016
Proj.: Campanha Procura-se CNCFLora/SEA.
01176457"
3166107,731de61c-7004-4b45-9035-25c58f78e2f0,NY,2817817,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3166107,http://sweetgum.nybg.org/images3/2292/599/02817817.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia oblongifolia (Cav.) Sw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,,"PLANTS OF THE PLANALTO DO BRASIL
Collected for The New York Botanical Garden by W. R. Anderson,
S. R. Hill, R. Reis dos Santos, and R. Souza
Estado de Goi¿s
Serra do Calapé
Anenniá oblong¡foh'a (c&ia)&k
Ca. 30 km (straight line) S of Caiaponia;
elev. 950-1200 m; cerrado on steep rocky
hillside and at top and base of hill.
On rock ledge near top of hill.
William R. Anderson	_
2Q April
1973
02817817
Field work supported in part by funds from the National Science Foundation
and conducted with the collaboration of the Universidade de Brasilia and the
Instituto de Pesquisas e Experiment* 5&0 Agrícola do Norte.
02817817"
3166108,994b4b51-e19a-4dcd-a20b-19321d3b8a4f,NY,2817818,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3166108,http://sweetgum.nybg.org/images3/2292/600/02817818.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia oblongifolia (Cav.) Sw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,,"hé
fl	PLANTS OF THE PLAN ALTO DO BRASIL
Collected tor The New York Botanical Garden by W. R. Anderson,
M. T. Kalin Arroyo, S. R. HIM, R. Reis dos Santos, and R. Souza
Estado de Goiás
Serra Geral do Paraná
Anemia oblongifolia (Cav.)-SW.
3 km NE of Sao Joao da Alianqa; elev. 1070 m;
mesophytic woods by stream, open marshy place
near stream, and cerrado on hillside above.
On shale in cerrado,
j William R. Anderson 7722
22 March 1973
field work supported in part by funds from the National Science Foundation
and conducted with the collaboration of the Universidade de Brasilia and the
Insti tu to de Pesquisas e JSbcperimentasEo Agricola do Norte.
fcÄfcl j
02817818"
2808658,52d5cab4-4255-4e68-8d3a-755833be83bc,NY,2554058,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2808658,http://sweetgum.nybg.org/images3/1801/634/02554058.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia phyllitidis (L.) Sw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,,"UNIVERSITY OF MICHIGAN
Anemia phyllitidis (L) Swartz
... l'\
det. John T. Mickel
1961
T }' f
NEW YORK BOTANICAL GARDEN
02554058
&
02554058"
3680451,8e917d08-58d1-46c7-b99b-5dfbab33ee5f,NY,3361636,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3680451,http://sweetgum.nybg.org/images3/2808/414/03361636.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia phyllitidis (L.) Sw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,,"UNIVERSIDADE FEDERAL DE VIÇOSA
DEPARTAMENTO DE BIOLOGIA VEGETAL
HERBÁRIO VIC - VIÇOSA (MG, BRASIL)
ANEMIACEAE
Espécie: Anemiaphyllitidis CL.) .
Det./Data: P.B. Schwartsburd jbA. X«J>JU ^ Í20K,
Proc.: Brasil, Minas Gérais, Viçosa, Campus da UFV. Mata da Biologia,
trilha principal. Floresta Estacional Semi-Decidnal.
20o45'31"" S, 42°51'56"" W	Alt.: 750 m
Obs Terrícola do interior da floresta.
Col.: Schwartsburd, P.B. 2833	Data: 16 August 2013
L. Rabelo-Sales & L.R. Lopes
03361636"
